Allele	Caucasian	Black	Asian
hla_b_15_47	0.000	0.000	0.000
hla_b_15_48	0.000	0.000	0.000
hla_b_15_49	0.000	0.000	0.000
hla_b_15_50	0.000	0.000	0.000
hla_b_15_51	0.000	0.000	0.000
hla_b_15_52	0.000	0.000	0.000
hla_b_15_53	0.000	0.000	0.000
hla_b_15_54	0.000	0.000	0.000
hla_b_15_55	0.000	0.000	0.000
hla_b_15_56	0.000	0.000	0.000
hla_b_15_57	0.000	0.000	0.000
hla_b_15_58	0.000	0.000	0.001
hla_b_15_60	0.000	0.000	0.000
hla_b_15_61	0.000	0.000	0.000
hla_b_15_62	0.000	0.000	0.000
hla_b_15_63	0.000	0.000	0.000
hla_b_15_64	0.000	0.000	0.000
hla_b_15_65	0.000	0.000	0.000
hla_b_15_66	0.000	0.000	0.000
hla_b_15_67	0.000	0.000	0.000
hla_b_15_68	0.000	0.000	0.000
hla_b_15_69	0.000	0.000	0.000
hla_b_15_70	0.000	0.000	0.000
hla_b_15_71	0.000	0.000	0.000
hla_b_15_72	0.000	0.000	0.000
hla_b_15_73	0.000	0.000	0.000
hla_b_15_74	0.000	0.000	0.000
hla_b_15_75	0.000	0.000	0.000
hla_b_15_76	0.000	0.000	0.000
hla_b_15_77	0.000	0.000	0.000
hla_b_15_78	0.000	0.000	0.000
hla_b_15_79n	0.000	0.000	0.000
hla_b_15_80	0.000	0.000	0.000
hla_b_15_81	0.000	0.000	0.000
hla_b_15_82	0.000	0.000	0.000
hla_b_15_83	0.000	0.000	0.000
hla_b_15_84	0.000	0.000	0.000
hla_b_15_85	0.000	0.000	0.000
hla_b_15_86	0.000	0.000	0.000
hla_b_15_87	0.000	0.000	0.000
hla_b_15_88	0.000	0.000	0.000
hla_b_15_89	0.000	0.000	0.000
hla_b_15_90	0.000	0.000	0.000
hla_b_15_91	0.000	0.000	0.000
hla_b_15_92	0.000	0.000	0.000
hla_b_15_93	0.000	0.000	0.000
hla_b_15_94n	0.000	0.000	0.000
hla_b_15_95	0.000	0.000	0.000
hla_b_15_96	0.000	0.000	0.000
hla_b_15_97	0.000	0.000	0.000
hla_b_15_98	0.000	0.000	0.000
hla_b_15_99	0.000	0.000	0.000
hla_b_15_101	0.000	0.000	0.000
hla_b_18_01	0.061	0.035	0.004
hla_b_18_02	0.000	0.000	0.001
hla_b_18_03	0.002	0.001	0.000
hla_b_18_04	0.000	0.000	0.000
hla_b_18_05	0.000	0.000	0.000
hla_b_18_06	0.000	0.000	0.000
hla_b_18_07	0.000	0.000	0.000
hla_b_18_08	0.000	0.000	0.000
hla_b_18_09	0.000	0.000	0.000
hla_b_18_10	0.000	0.000	0.000
hla_b_18_11	0.000	0.000	0.000
hla_b_18_12	0.000	0.000	0.000
hla_b_18_13	0.000	0.000	0.000
hla_b_18_14	0.000	0.000	0.000
hla_b_18_15	0.000	0.000	0.000
hla_b_18_17n	0.000	0.000	0.000
hla_b_18_18	0.000	0.000	0.000
hla_b_18_19	0.000	0.000	0.000
hla_b_18_20	0.000	0.000	0.000
hla_b_27_01	0.000	0.000	0.000
hla_b_27_02	0.013	0.000	0.000
hla_b_27_03	0.000	0.004	0.000
hla_b_27_04	0.000	0.000	0.012
hla_b_27_05	0.042	0.005	0.002
hla_b_27_06	0.000	0.000	0.001
hla_b_27_07	0.000	0.000	0.000
hla_b_27_08	0.000	0.000	0.000
hla_b_27_09	0.000	0.000	0.000
hla_b_27_10	0.000	0.000	0.000
hla_b_27_11	0.000	0.000	0.000
hla_b_27_12	0.000	0.000	0.000
hla_b_27_13	0.000	0.000	0.000
hla_b_27_14	0.000	0.000	0.000
hla_b_27_15	0.000	0.000	0.000
hla_b_27_16	0.000	0.000	0.000
hla_b_27_17	0.000	0.000	0.000
hla_b_27_18	0.000	0.000	0.000
hla_b_27_19	0.000	0.000	0.000
hla_b_27_20	0.000	0.000	0.000
hla_b_27_21	0.000	0.000	0.000
hla_b_27_23	0.000	0.000	0.000
hla_b_27_24	0.000	0.000	0.000
hla_b_27_25	0.000	0.000	0.000
hla_b_27_26	0.000	0.000	0.000
hla_b_27_27	0.000	0.000	0.000
hla_b_27_28	0.000	0.000	0.000
hla_b_35_01	0.056	0.061	0.024
hla_b_35_02	0.010	0.001	0.001
hla_b_35_03	0.028	0.002	0.003
hla_b_35_04	0.000	0.000	0.000
hla_b_35_05	0.000	0.001	0.005
hla_b_35_06	0.000	0.000	0.000
hla_b_35_07	0.000	0.000	0.000
hla_b_35_08	0.005	0.000	0.000
hla_b_35_09	0.000	0.000	0.000
hla_b_35_10	0.000	0.000	0.000
hla_b_35_11	0.000	0.000	0.000
hla_b_35_12	0.000	0.000	0.000
hla_b_35_13	0.000	0.000	0.000
hla_b_35_14	0.000	0.000	0.000
hla_b_35_15	0.000	0.000	0.000
hla_b_35_16	0.000	0.000	0.000
hla_b_35_17	0.000	0.000	0.000
hla_b_35_18	0.000	0.000	0.000
hla_b_35_19	0.000	0.000	0.000
hla_b_35_20	0.000	0.000	0.000
hla_b_35_21	0.000	0.000	0.000
hla_b_35_22	0.000	0.000	0.000
hla_b_35_23	0.000	0.000	0.000
hla_b_35_24	0.000	0.000	0.000
hla_b_35_25	0.000	0.000	0.000
hla_b_35_26	0.000	0.000	0.000
hla_b_35_27	0.000	0.000	0.000
hla_b_35_28	0.000	0.000	0.000
hla_b_35_29	0.000	0.000	0.000
hla_b_35_30	0.000	0.000	0.000
hla_b_35_31	0.000	0.000	0.000
hla_b_35_32	0.000	0.000	0.000
hla_b_35_33	0.000	0.000	0.000
hla_b_35_34	0.000	0.000	0.000
hla_b_35_35	0.000	0.000	0.000
hla_b_35_36	0.000	0.000	0.000
hla_b_35_37	0.000	0.000	0.000
hla_b_35_38	0.000	0.000	0.000
hla_b_35_39	0.000	0.000	0.000
hla_b_35_40n	0.000	0.000	0.000
hla_b_35_41	0.000	0.000	0.000
hla_b_35_42	0.000	0.000	0.000
hla_b_35_43	0.000	0.000	0.000
hla_b_35_44	0.000	0.000	0.000
hla_b_35_45	0.000	0.000	0.000
hla_b_35_46	0.000	0.000	0.000
hla_b_35_47	0.000	0.000	0.000
hla_b_35_48	0.000	0.000	0.000
hla_b_35_49	0.000	0.000	0.000
hla_b_35_50	0.000	0.000	0.000
hla_b_35_51	0.000	0.000	0.000
hla_b_35_52	0.000	0.000	0.000
hla_b_35_53n	0.000	0.000	0.000
hla_b_35_54	0.000	0.000	0.000
hla_b_35_55	0.000	0.000	0.000
hla_b_35_56	0.000	0.000	0.000
hla_b_35_57	0.000	0.000	0.000
hla_b_35_58	0.000	0.000	0.000
hla_b_35_89	0.000	0.000	0.000
hla_b_37_01	0.013	0.006	0.005
hla_b_37_02	0.000	0.000	0.000
hla_b_37_03n	0.000	0.000	0.000
hla_b_37_04	0.000	0.000	0.000
hla_b_37_05	0.000	0.000	0.000
hla_b_37_06	0.000	0.000	0.000
hla_b_37_07	0.000	0.000	0.000
hla_b_37_08	0.000	0.000	0.000
hla_b_37_09	0.000	0.000	0.000
